Question,Answer
Like selling different shoe sizes?,How do we bring the cost down (change in material or manufacturing design?); should be more customizable so that customers do not need to modify it themselves
"There are some sports that change rules once adapted (i.e. wheelchair fencing). Should this device create a new version of the sport, or allow more people to play with the existing rules?","Not against sports with different rules, it is common in paralympic games"
"Considering these devices could be used in high force impacts, what features might make it more comfortable for the user?",
"If this is a professional sport, does the device need to fit within certain regulations?","General public is the ideal market, most of those people will not be pros"
How much would you be willing to pay for such a device?,"Audience being general informs the price, should be kept low"
How long would you be willing to wait if the device had to be custom-fit?,"Customization is almost a necessity, since no two disabilities will need the same device"
What type of prosthetic is needed?,null
Which activities are you most excited to do with your prosthetic?,null
Is there one thing the prosthetic must have?,null
Who is your target customer/who do you want to build the prosthetic for?,null
What are some issues with current prosthetics on the market?,null
What type of financial or funding challenges do you face in providing affordable prosthetics?,null
Would the prosthetic be used as an everyday tool or for special high intensity activities such as playing sports?,null
What is the budget for prosthetic production?,null
Would the prosthetic be catered towards a certain age group?,null
How do we find stakeholders in the community for the prosthetic?,null
"When focusing on bilateral amputees, what kind of attachment to the board gives them the most stability, and accessibility to make turns and quick movements? When building a snowboard for a bilateral amputee, what is the best size board for them to get the most control?",null
Is there a certain amount of space we need to have between the bindings/attachments that could be regulated/mass produced?,null
"How much help can we expect the amputees to have when getting into the snowboard, help from others or entirely alone?",null
"How structurally sound should we require these boards to be? Will these boards be more low action recreational, or should we expect amputees to be performing significant jumps?",No need to worry about jumps and other things like that. More of just the enjoyment of the ride.
"What are design implications that you feel have been overlooked or brushed over in the past, and how can we address them more effectively?",Going to send us photos
"What are the most important features in a piece of adaptive equipment, can you rank them, and tell us why they are ranked in the order that they are?",null
"What would be your preferred way to travel across flat surfaces? Do you want to be able to unstrap one leg from the board and skate (push off with one leg and glide on the snow with the leg that’s strapped to the board) like snowboarders usually do, or would you prefer to unstrap both legs from the board and walk?","Stays clipped in for stability, uses outrigger to push and other people to pull him."
What has the production price been in the past and what was one major factor that led to the price making it an inaccessible product?,"Shocks were $600 to $800. Makers shed, aluminum and bolts."
Are there any safety precautions specific to snowboarders who are above the knee amputees that we should take into consideration while designing a snowboard?,Suspension! Mountain bike shock or similar Notes:
How can we proceed with the existing solution?,What considerations were taken while designing the current solution? Ugenia
Have your requirements changed or still remain the same?,What are the complications and possible solutions? Ugenia
Could you briefly explain what the problem is in your own words?,null
"Are there any specific milestones or goals you hope to achieve in the next stages of the project?(How can the team best support your vision for the ASL translation glove, considering factors such as budget constraints and user accessibility?",null
"Are there any specific technologies, materials, or methodologies you are considering, or would you prefer us to explore for the next phase of the ASL translation glove project?",null
What are the key challenges you foresee in the implementation or adoption of the ASL translation glove?,null
Q1. Are there specific reporting formats or requirements we should follow? Q2. Are there plans for ongoing monitoring or maintenance of the pond?,null
Q3. What is your preferred timeline for completing the Pond Water Testing and Improvement project?,null
Q4. Are there any specific milestones or deadlines that we should be aware of? Q5. How did you become interested in addressing pond water quality?,null
Q6. How often/how should we plan trips to the pond in order to conduct tests/test solutions?,null
Q7. What’s the severity of the contamination and if there are any seasonal changes in the contamination?,null
Q8. How do you envision sustaining the improvements in pond water quality beyond the duration of our project?,null
Q9. Are you open to both natural and artificial solutions or do you have a preference for a particular method?,null
Q10. Are there specific water quality testing methods or standards you would like the project to follow?,null
How did your team go about helping farmers stop clearing mangroves to make way for shrimp farms?,null
How can we try transitioning from using litmus tests that the farmers use? How inaccurate are they in testing water quality?,null
Why do many shrimp farmers dislike the idea of using mobile technology to test water quality? Is there a way to make technology more accessible/easy to use for them or do they not want to use any hand-held technology devices to assist in monitoring water quality?,null
"Have there been any initiatives to start recycling water instead of constantly using groundwater, or is that too expensive? Is there a way to stop seawater intrusion or test salinization, as pumping water is one of the reasons why there are high costs of shrimp farming which is causing the sinking of the Mekong Delta.",null
"Have you attempted to limit antibiotic use in any of your projects, due to antibiotics causing resistant bacteria strains?",null
"Which of the factors affected the water the most – salinity, pH, oxygen, temperature, and dissolved nitrogenous compounds, or were all the factors equivalent in affecting the water?",
"Are there any ways to decrease costs of larvae and equipment, any substitutes?",null
"Many farmers take on loans due to a loss in crop yield, and there is a lack of a banking system in Vietnam. How can we consider these factors while developing our design?",null
"As a business and investment officer for SNV in Vietnam, how have you dealt with creating sustainable farming practices in Vietnam while maintaining a budget?",null
"Do you integrate with local Vietnam transportation to transport shrimp, or do you have a plan or different system to combat transportation GHG emissions?",null
"How does small scale shrimp farming compare with commercial shrimp farming methods? If not, is there a way to get governmental assistance to bridge the gap towards implementation?",Attach a screenshot of an email approving your questions by your AA or UGTA of your nightly team section.
How can your knowledge in Environmental Law help us develop our sustainable gardening practice?,null
How does Environmental Law and carbon removal tie in with our project?,null
Why do you think you’d be most qualified to help our group?,null
"What were the most impactful business experiences have you had, and what can you teach us based on those experiences?",null
What is your preferred form of collaboration with teams?,null
"Currently, our team has no community to put our project in. What are some communities you know that can benefit from our solution?",null
How would you communicate the needs of said community/communities to us?,null
How willing are you to commit yourself to guiding this team until the project is self-sufficient?,null
What is your process of giving feedback and sorting through problems?,null
How available will you be when it comes to making time for meetings?,null
1. Would it be possible to modify the existing wind tunnel to allow for wind visualization with something like liquid nitrogen?,null
2.Approximately how much force is produced by the box fan and is it multi-speed?,null
3. What shape are the fan blades? Is it a dual fan system?,null
4.How many models would be ideal for the in-class demonstrations?,null
5. Should the wind tunnel be collapsable?,null
6. What are the dimensions of the wind tunnel like how much weight it can hold?,null
7. Is the wind tunnel movable?,null
8. Do the activities have to be automated? Can the activity be operated via digital commands or are manual inputs preferred?,null
9. Are there certain components of the design that would be off limits to modify?,null
10. How many activities should we have?,
Do you have a budget range in mind for this project?,If they don’t have anything in mind check to see the limits both high and low.
What are you looking to accomplish this semester?,Ask anything detailing what they’d like to see for an end goal.
About how many volunteers tend to the garden weekly/monthly?,null
What organic/nonorganic materials will be put in the composter?,null
What are your expectations for us moving forward in the project?,"Progress, professionalism, contact, on-site visits, etc."
Are there any requirements regarding the size and capacity of the composter?,null
Are there any challenges faced in the garden that the composter can combat?,null
Are aesthetics an important factor in your requirements for the composter?,null
What are common environmental factors that we should consider?,null
Is this a large-scale composter/final product or is it smaller scale?,null
The problem stated is: Unsustainable maintenance systems for volunteer-run garden. What maintenance systems are currently in place / and unsustainable?,null
What is the desired estimated duration of the flight?,null
What is the weight limit desired for the drone?,null
What were the limitations of the current solution you want improved on? What is the difference between the desired outcome and the current solution?,null
Are there any specific guidelines on how the drone must be built?,null
"Are there any other specific needs for the user? If not, how would you rank the current requirements/criteria you provided?",null
What kind of real-life applications will the drone be used for?,null
How would you envision the delivery process to be carried out?,null
Are there any plans to scale up the operation in the future?,null
What kind of items will the drone carry?,null
Are there any safety concerns you would like us to consider?,null
"Based on the prototypes that we presented during our design review, are you planning on implementing something like either or both options we showcased?","Your feedback I believe was: paracord bridges are great for private/ less traveled areas, and the bamboo slat design would be great for larger/ more visible roads."
"Ultimately, our research has shown that the wire rope clips would be very beneficial with any monkey bridge that you decide to use as they are adaptable, secure, and will not choke the tree they are attached to. Do you agree and plan on using these clips (you do have the clips in your possession btw)?",null
"A few months ago, Tatum sent you the website you requested about the Langur monkey bridge project in Malaysia. Have you had the chance to look over their design and project? What do you think?",null
"Before we build full-scale prototypes, is there anything you would like to see done differently this time around compared to the two designs you saw in Vietnam?",Align on testing plan: we share our current plan (see design doc) and verify with Anthony that this will be adequate design verification (does he want to see anything else?)
"Plan for the spring semester: We will be working on the project with new teammates, and we will try to make great improvements. What should we prioritize for this semester?",null
Are there any resources you can give us for the project's development? Do you see any challenges that we might have while making the project?,How can our team get feedback from you as you are in Nepal right now and the communication is the key to improving the project for the community.
Should our industry mentor get certified too since she will be helping review and analyze the results?,Deliverables for this semester
What are your expectations for us this semester outside of the survey?,null
Are there any other research / bugs within the app since starting the project we can work on in the meantime?,null
What progress are you hoping for us to make in the process of getting the survey out?,We are considering sending informal surveys within the class to get feedback on it before formalizing and sending it out to other students.
"How has the situation changed in the camp, has it worsened, or is it getting better?",null
What is the current process of obtaining cooking fuel in the refugee camp?,null
"What resources are available to us right now, and how many people are involved?","What resources are available to the refugees in the camp, (materials, tools, supplies)"
"If you don’t know any of the answers to these, who might?",Are there any contacts that you believe would be beneficial for us to have
What else do you think would be helpful for us to know about?,null
Can you re-lay out the details of the final deliverable for us?,null
Would you approve of sending them certain materials to finalize their builds that would otherwise be difficult to attain?,null
What are the product expectations this semester?,Establish design requirements
What is the specific scope of this project?,What is your expectations from us throughout the semester 3.
More noise reduction or more energy or 50/50?,null
Practically/Simple or Complex?,"Solar Panels; Size, Brand, R-Values, STC (Sound Transmission Class) Timeline/Plan:"
"Determine what our progress goals should be for this semester. Specifically, how far do we need to be in the prototyping process for both our physical vehicle and our mobile app by the end of the semester?",null
the current safety escort system are insufficient for the community’s needs?,null
At what point should our team move on from our first prototype iteration to our second prototype iteration?,null
How do you plan to support us during this process?,"In terms of our projected timeline, do you believe the current timeline we have come up with is doable in the amount of time we have? (Week 8 we hope to have a protype completed)"
What do you think about how we are testing the product? Do you have any suggestions on how we could test our product?,"A: diff liquids to test besides water , like the gel that is inside ice packs"
Does our design from last semester still hold up to the standards of what our project expects us to deliver?,"A: time , temp, how long does it stay, when does it drop (variables to test with our protype), how much liquid and linear feet of line (do the mathhh), need to find product of flow before flow of product rate"
Does our testing plan cover all areas of testing required for a successful product?,
How important should the ease of movement be compared to the scale of cooling that the vest provides?,null
What do you envision a successful project workflow to look like?,null
"Has there been any new system currently established or prototyped in the healthcare infrastructure that is responsible for allocating and assigning patients to ECMOs (ventilators) based on their medical needs and priority levels? Since our last meeting, has there been any change in the needs that need to be addressed by our project solution?",null
Is there an opportunity to allow us to walk through the current healthcare system in person to understand the entire process from start to finish?,null
"Since our previous meeting, have there been any alterations or developments in the project requirements or specific needs that we should be aware of, prompting a reassessment or adjustment of our current approach?",null
How do you think we can assess the impact of our app on healthcare delivery in Arizona Information? Guidance?,Ask if he knows any other local organizations we should seek to contact that he knows works hands on in these parks
Does Jesse already have prosthetics he uses?,null
What specific activities would Jesse like to be able to do?,null
How does Jesse currently do those activities? Such as mechanics and playing computer games?,null
What are the struggles with the way he is currently doing those activities?,null
Is there one activity in particular that Jesse wants to improve functionality with?,null
Implementation questions – How can we deploy one element of the system inside and one outside the houses?,null
Construction of the houses – how modern are they?,Current electrical status of houses in need
What kind of things do people in Shonto need to power?,null
"Refrigerator, lighting, AC, etc?",null
What kind of lights do people have?,null
What kind of materials are the houses built out of?,null
"Do some people in Shonto have electricity, if so what kind of things do they use it for? Do they use solar panels, or do they have power lines running to their house?",Statement of Work/Current Semester Plans
Last summer we determined that for travel to Kenya in 2024 we do not need to be there as long as 2.5-3 weeks as we did last year. What is the timeline that you suggest for this summer’s travels?,null
"This summer we have the Well Team traveling to Kenya for their assessment trip and the BTTC Team traveling for their implementation trip in Kenya. Since transport is often an issue in Kenya, do you suggest these teams travel at the same time, overlapping times, or completely different times?",null
"Last summer we determined that having more people than fit in a typical 7- or 8-seater van per project is too many to easily travel with in-country. There are much more people on our teams than 5 people, accounting for our industry mentor, the driver, and our travel guide. How do you suggest we determine who gets to go on the trip?",null
What timeframe works for you to travel to Kenya this summer? Last summer we agreed that we would rather finish our trip and return earlier than before. This is because it ran right into move in/ move out days for students and close to school starting. Are you still on board with this?,null
Last semester our BTTC Team completed their first rounds of prototypes and have been working on prototyping more this semester. How do you think their new prototype and new area of concern seems regarding their prototypes up to this point? Are they heading in the right direction?,null
"The Well Team is working on a great project! However, the materials for it are expensive. How do you suggest we go about funding these materials?",null
"Since the BTTC In-Ground tank had issues before, do you think there will be issues again or are we taking the correct precautions to mitigate such instances of failure?",null
How will the community of which the Well is being implemented keep strangers or those not part of the community from gaining access to the Well?,null
Have we heard any updates from JOOUST regarding their desire to have us help them implement an environmental/ sustainable civil engineering curriculum at their institution? Do we plan on meeting with them again this summer?,null
Have there been any damaging floods in the past few months that you’re aware of?,null
Are there any other plans for construction or landscape work in the area?,null
"Issue of invasive trees: Although we would like to help in removing the trees as they counter our efforts to restore the aquifer and could be used as natural material for induced meandering, we don’t think we could cut down anything above fairly small trees with our current abilities. Is there a way to remedy that or should we forgo that aspect of the solution?",null
Are there any other good sources of wood and rock nearby?,"Issue of meeting time: We appreciate being able to present during your leadership meetings, but we would prefer to have a dedicated contact and opportunity to meet outside of the SCG leadership meetings. That way, it is easier for us to get in touch outside of meetings and we don’t need to take up time in your leadership meetings."
Is a shipping plan part of the E-guide?,Ask about what kind of plans Jasmine is looking for post project.
What kind of detail are you looking for from the E-guide?,null
Should we be formulating the prices for the Kickstarter tiers?,null
What areas are you willing to compromise on if time is short?,null
How can the team best communicate with you?,null
4.) Could you give me some days that could be good for us to come up to the hatchery? 5.) Are there any changes to your needs regarding the device’s functionality?,6.) What kind of evidence of functionality would you like us to do in order to prove the device’s
effectiveness?,null
Why hasn’t the problem been solved previously?,null
What legal barriers are in our way currently?,null
How many residents do you think you can connect us with for summer testing?,null
Could we potentially use AAMHO to promote our product if so can you put us in contact with AAMHO?,null
Can you look at our research paper?,
What are any revisions in requirements you have since the last student and community partner meeting?,null
Do you prefer to have the braille characters in smaller size or large sizes if the option is available? What is the run time of the braille you require each day?,null
Does anyone in your team have the technical expertise to repair any small malfunctioning or replace parts?,null
Do you need us to orient anyone from your team apart from you with our progress so far?,"We also plan to share a brief semester plan focusing on the prototyping phase and delivery before the Africa travel, and a quick rundown of the previous semester's design review. We would also ask for input and their opinions on the future design and planning."
What’s your background?,"Single Family Housing (Donations, Food Drives, etc)"
How long have you been with the HSC?,3 months so far into the position and will be replacing Dave Backus.
What is your role? What questions should be directed towards you about the project?,Chaelee is the Project Manager.
"Are 2,000 non-reusable water bottles being used daily at the HSC or is it more? What is the fl oz. for the water bottles being used? What is the brand?","Currently, the HSC does not hand out water bottles, a seasonal decrease but ramps up during May (through the heat relief months)."
Are there renovations currently happening at the Human Services Campus?,"Answer: Renovations across the street for admin, Late October- Early November (2nd story to LDRC) as well as repainting and other projects."
Is there a sewer/drainage system at the Human Services Campus where we can create a piping system of the residual water from the sanitation process into some type of waste?,"Outside by water trailer connected to the hose, St Vincent de Paul’s Elkay Filling Station"
Is the Human Services Campus housing more homeless than last year?,Currently housing 1200 each day
Is the demand for a Hydration Station higher?,"Currently no water is distributed, and this water is reserved for emergency use."
Any other updated features you would like the Hydration Station to cover?,Durable and Nothing of Value Except Water
Is there anything you want to refrain the Hydration Station from having?,Autonomous parts in cleaning and filling reusable water bottles
Renovations happening at HSC?,Renovating place across the street for admin
Is there a need for smaller wheels? Or is that just a problem with our current wheelchair that we are prototyping on?,Review statement of work
Are there certain tests that can be done on our own to see if the wheelchair meets certain safety requirements?,Discuss timeline for deliverable by May 2024 (end of this semester)
When is the best time to deliver the final prototype?,null
Does the final prototype need to be done on a Mayo Clinic wheelchair?,null
"What happens if we create a viable prototype, do we need to figure out all testing regulations first?",
How can we get into contact with Parkinson’s patients in our area?,Is there anybody doing the exact same thing as us in the field of FES
"One issue we faced was little variation between the change in pH with all 4 tiles. What are some of the more extreme conditions, or potential issues in the future (like Global Warming or Bleaching) should we test? What would be a better primary variable?",null
"Regarding a potential coral nursery, how much area underwater would we be allotted considering Spanish regulations, and what would the budget be?",null
"How are we going to place our product into the water, and what would the recovery or retrieval process be?",null
Would supporting a current coral reef be more beneficial? Or should we attempt to create a new reef Environment?,null
Does our current proposed steering design (spring based) raise any safety concerns?,null
Are there any behaviors Quincy exhibits that you’re concerned may cause a loss of control of the bike?,null
"How are we planning to engage with other stakeholders, such as end-users or potential beneficiaries of the bike project?",null
"Seeing as how it was previously mentioned that riding bikes would be a method of socialization for Quincy, would you like us to ensure that his peers could possibly operate and steer the tricycle?",null
User input feedback: we bought a throttle and switches to operate the motors that will be fitted to the cart; does the Community partner have any preference over which one we should employ? Did he have a different idea in mind?,null
Does the CP think a mechanical hand-operated break (much like an e-break) will be needed for safety measures?,null
Are we able to speak with other technicians and receive their input on the cart?,null
What are some additional ways to receive funding for our project?,We will review our statement of work and discuss our plan for this semester
Overview of materials ordered for both the prototype and testing rig. What is your experience with CAD?,null
What is your experience with 3D printing?,Ensure that all required materials are accounted for.
Confirm the shipping details and any specific requirements Are you concerned about the work being done?,Closing Remarks
Do you have any apprehensions about our plans?,null
Would you suggest us do anything that would make your prosthetic attachment better? How often would you use it in the off season?,Set expectations for future updates and communication
What is the expected timeline for this project?,Aimed to be completed within the spring semester. Website development phase to database hosting to sync them with each other than creating the communication system with the farmers and then review.
Is there specific software we should be using to create the database or is it up to us to choose one?,"It is up to us how we set up the communication system. Otherwise, specific software includes Python, SQL."
What are the needs this project must meet?,"Communication with the shrimp farmers, Functioning self-updating database."
What are the issues with the current system being used?,Arduino data point conversion to database and consistency in updating it.
Were there any issues with the previous semester’s proposal for this project?,"The project proposal was fine, but they weren't able to achieve the goals in time."
What type of data needs to be shared through the database?,"Data to be plotted in vs time graphs i.e. rate. Temperature, pH, Salinity"
Why did the previous team leave the project?,There's another team working on it. They are catching up on it. They havent left it.
What server will be hosting our database?,"We are looking at AWS hosting services now, or Firebase is a secondary option."
How often should we communicate with the study abroad team?,Twice a week to have updates on their project post their group meetings.
How many teams are we expected to work with?,1 stakeholder team – Shrimp Farming.
What is the current system being used to store their data?,They dont have a system yet. They are developing a prototype in which the Arduino board will generate data.
How are we going to access our chosen team’s data?,Using a reciever and extracting it with the help of software that is being decided as we move ahead.
What crops do you usually plant in the area?,null
Does Encounter use any fertilizers or pesticides?,"No, Encounter is organic."
Are there any materials on site we can use for the project?,Encounter has basic gardening tools and a variety of extra materials such as fencing and wiring.
What Do you like or dislike about the current Flood system?,Customer desires a more efficient system that can be more precise and where there is less spillover into the parking lot.
Is there electrical access and are there outlets?,null
What is your current method of controlling the irrigation system (if it is automated)?,null
"What kind of storage system would you like, Natural (lake/pond) or Artificial (Tank)?",null
Does the church impose regulations about what can and cannot be done?,null
What crops do you usually plant in the area?,"The crops are varied, and they are depending on seasonality and need. We cannot know for sure whether or not we will plant the crops you see today at the site ahead of time for next season."
Does Encounter use any fertilizers or pesticides?,"No, Encounter farms is organic and does not use any of the above.."
Are there any materials on site we can use for the project?,Encounter has basic gardening tools and a variety of extra materials such as fencing and wiring. There are other tools on site but the selection should be considered limited.
What Do you like or dislike about the current Flood system?,The farm desires a more efficient watering system that can be more precise and where there is less water waste and spillover into the parking lot.
What do you wish it would be different?,We wish taht there was a storage system that allows us to water continuously in the summer months and to waste less water so we can increase growing capacity.
What is your opinion on sprinkler systems and drip irrigation systems?,"We are open to drip irrigation systems but sprinkler systems would be too inefficient and a lot of water would evaporate. Not to mention, other concerns such as cost and electricity are important as well."
Is there electrical access and are there outlets?,"There is no power on site, we have to have volunteers charge their tools before they come to the site and rely on gas powered tools."
What is your current method of controlling the irrigation system (if it is automated)?,null
"What kind of storage system would you like, Natural (lake/pond) or Artificial (Tank)?","Child safety and cost effectiveness are important. The church does not want a permanent installation, so any tank or pond is fine, but it has to be removable."
Does the church impose regulations about what can and cannot be done?,"The solution must be cost effective and cannot be permanent (no concrete, etc), must be easy to remove."
"1. Despite finding the previous team member’s old documents, we have been unsuccessful in picturing how far along the project had come. Do you have any experience with the previous models? And if you do, would you mind telling us more about the original prototype?",null
"2. What is your experience with the channels used by the previous team such as ROS2, SLAM, and weed detection?",null
4. What made you get involved with this project in the first place? Did you reach out to EPICS or did the Farmbots team reach out to you?,null
5. What has your overall involvement looked like with the team? Are you involved in the heavy technical aspects as well or do you focus more on design initiatives and pain points?,null
